current_datetime,current_block_number,gas_price_Gwei,safe_gas_price,ProposeGasPrice,fast_gas_price,priority_safe,priority_propose,priority_fast,BaseFee
2023-04-23 15:59:53,17110058,46.8935534,42,42,42,0.1052839899999966,0.1052839899999966,0.1052839899999966,41.89471601
2023-04-23 16:00:07,17110059,52.742163655,53,53,54,0.3478363449999975,0.3478363449999975,1.3478363449999975,52.652163655
2023-04-23 16:00:16,17110060,52.742163655,51,51,52,0.4429308739999982,0.4429308739999982,1.4429308739999982,50.557069126
2023-04-23 16:00:35,17110061,52.039362359,50,50,51,0.3279604530000028,0.3279604530000028,1.3279604530000029,49.672039547
2023-04-23 16:00:51,17110062,49.762039547,50,50,51,0.3279604530000028,0.3279604530000028,1.3279604530000029,49.672039547
2023-04-23 16:00:58,17110063,50.559943456,51,51,52,0.5300565439999971,0.5300565439999971,1.5300565439999971,50.469943456
2023-04-23 16:01:15,17110065,48.140503951,47,48,48,0.2022295459999981,1.202229545999998,1.202229545999998,46.797770454
2023-04-23 16:01:35,17110066,48.621151682,47,47,49,0.4387184619999971,0.4387184619999971,2.438718461999997,46.561281538
2023-04-23 16:01:43,17110067,46.651281538,47,47,49,0.4387184619999971,0.4387184619999971,2.438718461999997,46.561281538
2023-04-23 16:01:58,17110068,46.104097238,47,47,47,0.985902762000002,0.985902762000002,0.985902762000002,46.014097238
2023-04-23 16:02:13,17110069,44.798036937,45,45,47,0.1486138220000015,0.1486138220000015,2.148613822000001,44.851386178
2023-04-23 16:02:21,17110070,44.951386178,45,45,47,0.1486138220000015,0.1486138220000015,2.148613822000001,44.851386178
2023-04-23 16:02:30,17110071,43.564705033,44,44,44,0.5352949669999987,0.5352949669999987,0.5352949669999987,43.464705033
2023-04-23 16:02:45,17110072,48.991316196,49,50,52,0.1086838040000017,1.1086838040000018,3.1086838040000018,48.891316196
2023-04-23 16:03:01,17110073,46.07824446,46,46,49,0.0217555400000009,0.0217555400000009,3.021755540000001,45.97824446
2023-04-23 16:03:09,17110074,51.624486293,52,52,55,0.4755137069999975,0.4755137069999975,3.475513706999997,51.524486293
2023-04-23 16:03:21,17110075,51.002719278,51,52,54,0.0972807220000007,1.0972807220000007,3.0972807220000007,50.902719278
